repo_name,num_files,languages,Raw SQL,Hibernate,JPA,jOOQ,MyBatis,Spring Data JPA,QueryDSL,JdbcTemplate,Ebean ORM,Criteria API (JPA),Spring JDBC Template,Apache Cayenne,OpenJPA,ObjectDB,EclipseLink,Slick (Scala),JOOQ,Batoo JPA,Speedment,OrientDB,ArangoDB,Elasticsearch,MongoDB,Neo4j,Cassandra
ReplayMod/jGui,1,Java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
klamonte/jermit,1,Java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a-r-d/java-1-class-demos,1,Java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nico01f/z-pec,1,Java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DamascenoRafael/cos482-qualidade-de-software,1,Java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thilko/gradle-springdoc-plugin,1,Java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ltearno/pom-explorer,1,Java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kashike/SpongeCommon,1,Java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mokonzi131/gatech-colorwar,1,Java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vivekprocoder/teaching,1,Java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alihaluk/swe573main,1,Java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
